2	0	2	4	177.3	70.8	54.9	5.2	1
4	0	2	5	182.7	70.8	55.7	5.2	1
4	1	2	5	177.9	70.8	56.3	5.2	1
4	0	2	5	192.2	73.3	57.1	5.5	1
4	1	2	5	161.4	67	60	4.4	1
4	1	2	5	180.6	73	66.5	8.2	1
4	1	2	5	180.6	73	66.5	8.2	2
4	1	3	8	196.5	78.6	70.6	7.3	1
4	1	3	8	196.5	78.6	70.6	7.3	1
4	1	2	5	170.4	69.8	63.2	6.7	1
4	1	2	5	170.4	69.8	63.2	6.7	2
4	1	3	7	203.2	78.5	68.3	4.5	1
4	1	2	5	159.7	67.8	58.1	6.1	1
4	0	2	5	173.5	67.8	58.1	6.1	1
4	0	2	5	191.8	72.9	58.2	6.4	1
4	0	2	5	191.8	72.9	58.2	6.4	2
2	0	2	4	188.3	75.4	54.4	5.1	0
2	0	1	2	187.5	78.9	43.7	2.75	0
4	1	2	5	158.1	69.5	65	7.9	1
4	1	2	5	158.1	69.5	65	7.9	2
4	1	2	5	178.1	72.4	67	7.8	1
4	1	2	5	178.1	72.4	67	7.8	2
4	1	3	7	201.8	75.9	68	5.9	1
4	1	3	7	201.8	75.9	68	5.9	2
4	1	2	5	188.1	75.9	68.6	8	1
4	1	2	5	188.1	75.9	68.6	8	2
4	1	3	7	192	75.9	68.6	8	2
4	1	3	7	197.1	78.9	70.4	7.8	1
4	1	3	7	197.1	78.9	70.4	7.8	2
4	1	3	8	210	79.9	76.5	9.8	0
4	1	3	8	210	79.9	76.5	9.8	2
2	0	2	4	174.5	69.8	55.8	5.5	0
2	0	2	4	174.5	69.8	55.8	5.5	2
4	0	2	5	182	71	56	6.2	0
4	0	2	5	182	71	56	6.2	2
2	0	2	4	182.6	71.9	54.7	5.1	0
2	0	2	4	182.6	71.9	54.7	5.1	2
4	0	2	5	194.3	73.5	58.6	6.2	0
4	0	2	5	194.3	73.5	58.6	6.2	2
2	0	2	4	197.1	74.6	54.3	6.3	0
2	0	2	4	197.1	74.6	54.3	6.3	2
4	0	2	4	207.4	74.9	58.2	6	0
4	0	2	4	207.4	74.9	58.2	6	2
2	0	2	4	190.7	74.9	52.8	5	2
4	1	2	5	174.8	71.7	63.5	7.2	1
4	1	2	5	174.8	71.7	63.5	7.2	2
4	1	2	5	171.7	71.8	60.1	7.2	1
4	1	2	5	171.7	71.8	60.1	7.2	2
4	1	2	5	185.4	74.4	66	8	2
4	1	2	5	185.4	74.4	66	8	2
4	1	2	5	193.8	78.9	68.7	8.7	2
4	1	2	5	193.3	78.3	67	8.3	2
4	1	3	7	202.8	78.7	71.1	8.7	2
2	0	1	2	184.6	76.5	51.1	4.6	2
2	0	1	2	170.2	73.4	51.3	4.6	0
